Наименование;Сссылка;Цена;Состав;Наличие на складе;Описание пряжи;Изображение пряжи
Пряжа Diva Ombre Batik Alize - (7413 - Настурция, св.персик);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7413/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/54/63/16354/images/30179/30179.200.jpg
Пряжа Diva Ombre Batik Alize - (7358 - Шафран, св.шампань);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7358/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/53/63/16353/images/30176/30176.200.jpg
Пряжа Diva Ombre Batik Alize - (7369 - Лазурь, св.лазурь);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7369/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/52/63/16352/images/30173/30173.200.jpg
Пряжа Diva Ombre Batik Alize - (7244 - Орхидея, св.розовый);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7244/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:2 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:2 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/51/63/16351/images/30170/30170.200.jpg
Пряжа Diva Ombre Batik Alize - (7377 - Пыльная сирень, св.сирень);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7377/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:2 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:2 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/50/63/16350/images/30167/30167.200.jpg
Пряжа Diva Ombre Batik Alize - (7381 - Брусника, св.роза);https://klubki-v-korzinke.ru//product/prjazha-diva-ombre-batik-alize-7381/;429₽/ шт;250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.;Наличие:на складе;429₽/ шт250 г / 875 мСостав:100% микрофибра-акрилна складе:8 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/49/63/16349/images/30163/30163.200.jpg
Пряжа Viverone Kutnor - (1524 - Тёмный шиповник);https://klubki-v-korzinke.ru//product/prjazha-viverone-kutnor-1524-temnii-shipovnik/;390₽/ шт;25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:13 шт.;Наличие:на складе;390₽/ шт25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:13 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/48/63/16348/images/30160/30160.200.jpg
Пряжа Viverone Kutnor - (566 - Стальной);https://klubki-v-korzinke.ru//product/prjazha-viverone-kutnor-566-stalnoi/;390₽/ шт;25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:12 шт.;Наличие:на складе;390₽/ шт25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:12 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/47/63/16347/images/30158/30158.200.jpg
Пряжа Viverone Kutnor - (596 - Индиго);https://klubki-v-korzinke.ru//product/prjazha-viverone-kutnor-596-indigo/;390₽/ шт;25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:20 шт.;Наличие:на складе;390₽/ шт25 г / 237 мСостав:70% супер кид мохер 30% шелкна складе:20 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/46/63/16346/images/30156/30156.200.jpg
Пряжа Cotton Gold Hobby Alize - (17 - Петроль);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-hobby-alize-17-petrol/;87₽/ шт;50 г / 165 мСостав:55% хлопок, 45% акрил​на складе:15 шт.;Наличие:на складе;87₽/ шт50 г / 165 мСостав:55% хлопок, 45% акрил​на складе:15 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/45/63/16345/images/30154/30154.200.jpg
Пряжа COTTON GOLD Alize - (203 - Джинс - меланж);https://klubki-v-korzinke.ru//product/prjazha-cotton-gold-alize-203-djins-melanj/;169₽/ шт;100 г / 330 мСостав:55% хлопок 45% акрилна складе:36 шт.;Наличие:на складе;169₽/ шт100 г / 330 мСостав:55% хлопок 45% акрилна складе:36 шт.100 г / 330 м55% хлопок, 45% акрилНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/44/63/16344/images/30152/30152.200.jpg
Пряжа KID ROYAL 50 Alize - (491 - Миндальный);https://klubki-v-korzinke.ru//product/prjazha-kid-royal-50-alize-491-mindalnii/;215₽/ шт;50 г / 500 мСостав:62% кид мохер 38% полиамидна складе:25 шт.;Наличие:на складе;215₽/ шт50 г / 500 мСостав:62% кид мохер 38% полиамидна складе:25 шт.50 г / 500 м62% кид мохер, 38% полиамидНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/43/63/16343/images/30150/30150.200.jpg
Пряжа KID ROYAL 50 Alize - (275 - Сиреневая пудра);https://klubki-v-korzinke.ru//product/prjazha-kid-royal-50-alize-275-sirenevaia-pudra/;215₽/ шт;50 г / 500 мСостав:62% кид мохер 38% полиамидна складе:23 шт.;Наличие:на складе;215₽/ шт50 г / 500 мСостав:62% кид мохер 38% полиамидна складе:23 шт.50 г / 500 м62% кид мохер, 38% полиамидНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/42/63/16342/images/30148/30148.200.jpg
Пряжа Iris (Ирис) - (58 - Незабудка);https://klubki-v-korzinke.ru//product/prjazha-iris-iris-58-nezabudka/;105₽/ шт;50 г / 450 мСостав:100% мерсеризованный хлопокна складе:35 шт.;Наличие:на складе;105₽/ шт50 г / 450 мСостав:100% мерсеризованный хлопокна складе:35 шт.50 г / 450 м100% мерсеризованный хлопокНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/41/63/16341/images/30145/30145.200.jpg
"Пряжа Пехорка ""Бисерная"" - (10 - Тайга)";https://klubki-v-korzinke.ru//product/prjazha-pehorka-bisernaja-10-taiga/;87₽/ шт;100 г / 450 мСостав:100% акрилна складе:6 шт.;Наличие:на складе;87₽/ шт100 г / 450 мСостав:100% акрилна складе:6 шт.100 гр. / 450 м100% акрил высокообъемныйНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/40/63/16340/images/30143/30143.200.jpg
Журнал Вяжем детям №3 (139) март 2021;https://klubki-v-korzinke.ru//product/zhurnal-vjazhem-detjam-3-139-2021/;75₽/ шт;на складе:11 шт.;Наличие:на складе;75₽/ штна складе:11 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/39/63/16339/images/30140/30140.200.jpg
Журнал Anna весна 2021 1;https://klubki-v-korzinke.ru//product/zhurnal-anna-vesna-2021-1/;209₽/ шт;на складе:16 шт.;Наличие:на складе;209₽/ штна складе:16 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/38/63/16338/images/30138/30138.200.jpg
Журнал Creazion №1/2021;https://klubki-v-korzinke.ru//product/zhurnal-creazion-1-2021/;224₽/ шт;на складе:15 шт.;Наличие:на складе;224₽/ штна складе:15 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/37/63/16337/images/30136/30136.200.jpg
Маркер для петель addiMarker Сердце, 1 шт.;https://klubki-v-korzinke.ru//product/marker-dlja-petel-addimarker-serdze-1sht/;26₽/ шт;на складе:50 шт.;Наличие:на складе;26₽/ штна складе:50 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/36/63/16336/images/30134/30134.200.jpg
Нитковдеватель для ручных и машинных игл Hemline (2 шт);https://klubki-v-korzinke.ru//product/nitkovdevatel-dlia-rucnih-i-mashinnih-igl-2sht/;270₽/ шт;на складе:3 шт.;Наличие:на складе;270₽/ штна складе:3 шт.Нитковдеватель для ручных и машинных игл. Размер: 4,5 смПроизводитель: АвстралияНаличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/35/63/16335/images/30132/30132.200.jpg
Пряжа Камтекс «Ангара» - (073 - Лёд);https://klubki-v-korzinke.ru//product/prjazha-kamteks-angara-073-led/;205₽/ шт;100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:20 шт.;Наличие:на складе;205₽/ шт100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:20 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/34/63/16334/images/30130/30130.200.jpg
Пряжа Камтекс «Ангара» - (024 - Бирюза);https://klubki-v-korzinke.ru//product/prjazha-kamteks-angara-024-biruza/;205₽/ шт;100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:18 шт.;Наличие:на складе;205₽/ шт100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:18 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/33/63/16333/images/30128/30128.200.jpg
Пряжа Камтекс «Ангара» - (015 - Голубой);https://klubki-v-korzinke.ru//product/prjazha-kamteks-angara-015-goluboi/;205₽/ шт;100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:15 шт.;Наличие:на складе;205₽/ шт100 г / 250 мСостав:35% мохер, 15% шерсть кроссбред, 50% акрилна складе:15 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/32/63/16332/images/30125/30125.200.jpg
Пряжа Камтекс «Вискозный Шелк Блестящий» - (072 - Лаванда);https://klubki-v-korzinke.ru//product/prjazha-kamteks-viskoznyj-shelk-blestjashij-072-lavanda2/;165₽/ шт;100 г / 350 мСостав:100 % вискоза (лиоцель)на складе:24 шт.;Наличие:на складе;165₽/ шт100 г / 350 мСостав:100 % вискоза (лиоцель)на складе:24 шт.100 г / 350 м100 % вискоза (лиоцель)Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/31/63/16331/images/30122/30122.200.jpg
Пряжа Пехорка «Крапивная» - (411 - Мята);https://klubki-v-korzinke.ru//product/prjazha-pehorka-krapivnaja-411-liker/;159₽/ шт;50 г / 250 мСостав:100% крапивана складе:20 шт.;Наличие:на складе;159₽/ шт50 г / 250 мСостав:100% крапивана складе:20 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/27/63/16327/images/30113/30113.200.jpg
Пряжа Пехорка «Крапивная» - (02 - Чёрный);https://klubki-v-korzinke.ru//product/prjazha-pehorka-krapivnaja-02-cernii/;159₽/ шт;50 г / 250 мСостав:100% крапивана складе:21 шт.;Наличие:на складе;159₽/ шт50 г / 250 мСостав:100% крапивана складе:21 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/25/63/16325/images/30109/30109.200.jpg
Пряжа в бобинах Forma (44 - Бледная мята);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-forma-44-blednaia-miata/;5,77₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:960 шт.;Наличие:на складе;5,77₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:960 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/22/63/16322/images/30102/30102.200.jpg
Пряжа в бобинах Forma (51 - Светлая лазурь);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-forma-51-svetlaia-lazur/;5,77₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:980 шт.;Наличие:на складе;5,77₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:980 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/21/63/16321/images/30099/30099.200.jpg
Пряжа в бобинах Forma (45 - Беж);https://klubki-v-korzinke.ru//product/prjazha-italjanskaja-forma-45-bej/;5,77₽/ шт;100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:944 шт.;Наличие:на складе;5,77₽/ шт100 г / 500 м, цена за 1 г, остаток в граммахСостав:50% меринос, 20% ангора, 15% вискоза, 15% акрилна складе:944 шт.Наличие:на складе;https://klubki-v-korzinke.ru//wa-data/public/shop/products/20/63/16320/images/30094/30094.200.jpg
